domain,subdomains,subdomain_count,email_user,registrar,asn,org,host_provider,ips,asn_description,asn_country,creation_date,expiration_date,sld,tld,ns_hosts,ns_base,ns_count,mx_hosts,mx_base,mx_count,soa_email,ip_count
akznzkevhqnh.myfunnelish.com,,0.0,registrar-abuse,"Cloudflare, Inc. (ID1910)",394354.0,"CIRA-CLOUD2, CA","CIRA-CLOUD2, CA (AS394354)",,,,,,,,,,0,,,0,,
allegrolokalnie.pl-oferta70923618.cfd,,0.0,support,WEBCC,55195.0,"CIRA-CLOUD1, CA","CIRA-CLOUD1, CA (AS55195)",,,,,,,,,,0,,,0,,
gvhbn-100499.weeblysite.com,,0.0,abuse,SafeNames Ltd. (ID447),394354.0,"CIRA-CLOUD2, CA","CIRA-CLOUD2, CA (AS394354)",,,,,,,,,,0,,,0,,
tttbzujioffi-cial.py8rm3.asia,,0.0,abuse,"Chengdu West Dimension Digital Technology Co., Ltd. (ID1556)",55195.0,"CIRA-CLOUD1, CA","CIRA-CLOUD1, CA (AS55195)",,,,,,,,,,0,,,0,,
bia.recebaretorno.com,,0.0,abuse,NAMECHEAP INC,394354.0,"CIRA-CLOUD2, CA","CIRA-CLOUD2, CA (AS394354)",,,,,,,,,,0,,,0,,
confirmaciones-produb.weebly.com,,0.0,abuse,SafeNames Ltd. (ID447),55195.0,"CIRA-CLOUD1, CA","CIRA-CLOUD1, CA (AS55195)",,,,,,,,,,0,,,0,,
zujioffi-cial.mm66ny.asia,,0.0,abuse,"Chengdu West Dimension Digital Technology Co., Ltd. (ID1556)",394354.0,"CIRA-CLOUD2, CA","CIRA-CLOUD2, CA (AS394354)",,,,,,,,,,0,,,0,,
confirmpro11.webcindario.com,,0.0,domainabuse,"TUCOWS DOMAINS, INC.",394354.0,"CIRA-CLOUD2, CA","CIRA-CLOUD2, CA (AS394354)",,,,,,,,,,0,,,0,,
tehjsgeqltlg.myfunnelish.com,,0.0,registrar-abuse,"Cloudflare, Inc. (ID1910)",394354.0,"CIRA-CLOUD2, CA","CIRA-CLOUD2, CA (AS394354)",,,,,,,,,,0,,,0,,
form.jotform.com,,0.0,domainabuse,"TUCOWS DOMAINS, INC.",13335.0,"CLOUDFLARENET, US","CLOUDFLARENET, US (AS13335)",,,,,,,,,,0,,,0,,
scanned.page,qr;qr-dev,2.0,UNKNOWN,UNKNOWN,13335.0,"CLOUDFLARENET, US","CLOUDFLARENET, US (AS13335)",,,,,,,,dilbert.ns.cloudflare.com.;galilea.ns.cloudflare.com.,cloudflare.com,2,,,0,dns@cloudflare.com,
is.gd,free-discord-nitro-legit;nan;preview;www;wwww,5.0,abuse,Gandi SAS (ID81),55195.0,"CIRA-CLOUD1, CA","CIRA-CLOUD1, CA (AS55195)",,,,,,,,gwen.ns.cloudflare.com.;jerry.ns.cloudflare.com.,cloudflare.com,2,alt1.aspmx.l.google.com.;alt2.aspmx.l.google.com.;alt3.aspmx.l.google.com.;alt4.aspmx.l.google.com.;aspmx.l.google.com.,google.com,5,dns@cloudflare.com,
linksta.cc,up,1.0,registrar-abuse,"Cloudflare, Inc. (ID1910)",394354.0,"CIRA-CLOUD2, CA","CIRA-CLOUD2, CA (AS394354)",,,,,,,,quentin.ns.cloudflare.com.;raegan.ns.cloudflare.com.,cloudflare.com,2,route1.mx.cloudflare.net.;route2.mx.cloudflare.net.;route3.mx.cloudflare.net.,cloudflare.net,3,dns@cloudflare.com,
allegrolokalnie.pl-smart9578712.cfd,,0.0,support,WEBCC,394354.0,"CIRA-CLOUD2, CA","CIRA-CLOUD2, CA (AS394354)",,,,,,,,,,0,,,0,,
vinci-dossier.com,,0.0,abuse,"OwnRegistrar, Inc. (ID1250)",55195.0,"CIRA-CLOUD1, CA","CIRA-CLOUD1, CA (AS55195)",,,,,,,,,,0,,,0,,
ipfs.io,about;api.cluster;archives;awesome;benchmark-js;bifrost-gateway;bifrost-gateway.stage;blog;camp;car;chappy.i;cid;cluster;cname;countly;dag;delegate;delegate.stage;dev.awesome;dev.js;dev.share;dev.webui;discuss;dist;docs;dweb-primer;ecosystem;fleek;gateway;gateway-int;gateway-int.stage;gateway.stage;i;ipfs-check-backend;ipfs-check-backend-ng;js;jupiter.i;mars.i;node0.delegate;node0.preload;node1.delegate;node1.preload;node2.preload;node3.preload;ny5.cname;pluto.i;preload;preload.stage;project-repos;qmwn8medvb9vdhsxhkbh3gjhxl9aeajupnjnfpehrveenz.ipfs;registry.js;replication.registry.js;routing.delegate;share;shop;stage;v03x;v04x;venus.i;website;website-int;workshop.cluster;www;www.gateway;zcash.dag,65.0,UNKNOWN,"CSC Corporate Domains, Inc. (ID299)",40680.0,"PROTOCOL, US","PROTOCOL, US (AS40680)",,,,,,,,clarissa.ns.cloudflare.com.;tate.ns.cloudflare.com.,cloudflare.com,2,alt1.aspmx.l.google.com.;alt2.aspmx.l.google.com.;alt3.aspmx.l.google.com.;alt4.aspmx.l.google.com.;aspmx.l.google.com.,google.com,5,dns@cloudflare.com,
prdveraf27.ap-south-1.awsapprunner.com,,0.0,abusecomplaints,"MarkMonitor, Inc.",16509.0,"AMAZON-02, US","AMAZON-02, US (AS16509)",,,,,,,,,,0,,,0,,
vincipeage-impaye-fr.com,,0.0,abuse,Hosting Concepts B.V. d/b/a Registrar.eu (ID1647),394354.0,"CIRA-CLOUD2, CA","CIRA-CLOUD2, CA (AS394354)",,,,,,,,ina1.registrar.eu.;ina2.registrar.eu.;ina3.registrar.eu.,registrar.eu,3,,,0,noreply@registrar.eu,
shop.dentaurum.de,www,1.0,UNKNOWN,UNKNOWN,12399.0,"SCAN-PLUS-AS q.beyond AG, DE","SCAN-PLUS-AS q.beyond AG, DE (AS12399)",,,,,,,,,,0,,,0,,
lljti.com,,0.0,domainabuse,"TUCOWS DOMAINS, INC.",394354.0,"CIRA-CLOUD2, CA","CIRA-CLOUD2, CA (AS394354)",,,,,,,,,,0,,,0,,
simitpagos.top,,0.0,abuse,"NICENIC INTERNATIONAL GROUP CO., LIMITED (ID3765)",55195.0,"CIRA-CLOUD1, CA","CIRA-CLOUD1, CA (AS55195)",,,,,,,,,,0,,,0,,
pay.pagamento-virtual.com,,0.0,abuse,GRANSY S.R.O D/B/A SUBREG.CZ,394354.0,"CIRA-CLOUD2, CA","CIRA-CLOUD2, CA (AS394354)",,,,,,,,,,0,,,0,,
w7fhwuehh.lat,,0.0,UNKNOWN,NAMECHEAP INC,55195.0,"CIRA-CLOUD1, CA","CIRA-CLOUD1, CA (AS55195)",,,,,,,,,,0,,,0,,
tih4ngo3f.lat,,0.0,UNKNOWN,NAMECHEAP INC,394354.0,"CIRA-CLOUD2, CA","CIRA-CLOUD2, CA (AS394354)",,,,,,,,,,0,,,0,,
m4w8pi.sbs,,0.0,abuse,"NameSilo, LLC (ID1479)",55195.0,"CIRA-CLOUD1, CA","CIRA-CLOUD1, CA (AS55195)",,,,,,,,,,0,,,0,,
allegrolokalnie.pl-6399173.icu,,0.0,support,WEBCC,394354.0,"CIRA-CLOUD2, CA","CIRA-CLOUD2, CA (AS394354)",,,,,,,,,,0,,,0,,
fdh5mfsaf.lat,,0.0,UNKNOWN,NAMECHEAP INC,55195.0,"CIRA-CLOUD1, CA","CIRA-CLOUD1, CA (AS55195)",,,,,,,,,,0,,,0,,
kukkreklogen.gitbook.io,,0.0,UNKNOWN,"Cloudflare, Inc. (ID1910)",55195.0,"CIRA-CLOUD1, CA","CIRA-CLOUD1, CA (AS55195)",,,,,,,,,,0,,,0,,
krerkenloguin-1.gitbook.io,,0.0,UNKNOWN,"Cloudflare, Inc. (ID1910)",55195.0,"CIRA-CLOUD1, CA","CIRA-CLOUD1, CA (AS55195)",,,,,,,,,,0,,,0,,
kreqamloginx.gitbook.io,,0.0,UNKNOWN,"Cloudflare, Inc. (ID1910)",394354.0,"CIRA-CLOUD2, CA","CIRA-CLOUD2, CA (AS394354)",,,,,,,,,,0,,,0,,
ketykainlogin.gitbook.io,,0.0,UNKNOWN,"Cloudflare, Inc. (ID1910)",394354.0,"CIRA-CLOUD2, CA","CIRA-CLOUD2, CA (AS394354)",,,,,,,,,,0,,,0,,
karukeiinlogenew.gitbook.io,,0.0,UNKNOWN,"Cloudflare, Inc. (ID1910)",55195.0,"CIRA-CLOUD1, CA","CIRA-CLOUD1, CA (AS55195)",,,,,,,,,,0,,,0,,
karekinudin.gitbook.io,,0.0,UNKNOWN,"Cloudflare, Inc. (ID1910)",55195.0,"CIRA-CLOUD1, CA","CIRA-CLOUD1, CA (AS55195)",,,,,,,,,,0,,,0,,
crknlgun.gitbook.io,,0.0,UNKNOWN,"Cloudflare, Inc. (ID1910)",394354.0,"CIRA-CLOUD2, CA","CIRA-CLOUD2, CA (AS394354)",,,,,,,,,,0,,,0,,
wphposrec.weebly.com,,0.0,abuse,SafeNames Ltd. (ID447),394354.0,"CIRA-CLOUD2, CA","CIRA-CLOUD2, CA (AS394354)",,,,,,,,,,0,,,0,,
univ-grenoble-alpes0.weebly.com,,0.0,abuse,SafeNames Ltd. (ID447),394354.0,"CIRA-CLOUD2, CA","CIRA-CLOUD2, CA (AS394354)",,,,,,,,,,0,,,0,,
mandrillapp.com,11574179.in1;13189167.in1;14983743.in1;14983743.in2;15656379.in1;30020276.in2;30039255.in1;30039255.in2;30042324.in2;30147519.in1;30147519.in2;30154004.in1;30154004.in2;30191960.in1;30191960.in2;30207269.in1;30207269.in2;30208394.in1;30209846.in1;30209846.in2;30295092.in1;30298974.in1;30298974.in2;30345022.in1;30362579.in2;30373158.in2;30659362.in1;30777016.in2;30849360.in1;30898744.in1;30898744.in2;31249036.in2;3dmail137-13.atl71;3dmail187-43.suw11;5400842.in1;5400842.in2;71;87-43.suw11;9656353.in1;9656353.in2;alb-app-prod.us-west-2.tx-prod.prod;api.us-west-1.mandrill-prod;app;bastion;in1;in2;l71;link;mail.mail128-0.atl41;mail10.wdc04;mail11.us4;mail128-133.atl41;mail128-17.atl41;mail128-194.atl41;mail128-203.atl41;mail128-21.atl41;mail128-86.atl41;mail132-134.atl131;mail132-214.atl131;mail133-10.atl131;mail133-159.atl131;mail134-11.atl141;mail134-21.atl141;mail134-40.atl141;mail135-17.atl141;mail136-18.atl41;mail136-23.atl41;mail136-24.atl41;mail136-26.atl41;mail136-29.atl41;mail136-4.atl41;mail137-164.atl71;mail139-198.wdc04;mail145-17.atl61;mail177-84.suw61;mail178-23.suw51;mail178-26.suw51;mail179-17.suw41;mail179-19.suw41;mail179-2.suw41;mail179-212.suw41;mail179-22.suw41;mail179-24.suw41;mail179-30.suw41;mail180-169.suw31;mail180-41.suw31;mail186-12.suw21;mail187-131.suw11;mail187-157.suw11;mail187-16.suw11;mail187-194.suw11;mail187-3.suw11;mail187-43.suw11;mail187-5.suw11;mail187-79.suw11;mail238.us4;mail33.wdc04;mail336.us4;mayhaw.bastion;puppet-2.us-west-1.mandrill-tools;puppet-deploy;puppet-deploy-1.us-west-2.tx-tools;puppet-deploy-2.us-west-2.tx-tools;puppet-deploy.us-west-1;puppetca;puppetca.us-west-1;relay.us-west-1.mandrill-tools;smtp;smtp.eu-west-1;smtp.us-east-1;smtp.us-west-2;static;static.us-west-2;status;www;www.9656353.in2.9656353.in2;www.mail179-30.suw41,117.0,abusecomplaints,"MarkMonitor, Inc.",16509.0,"AMAZON-02, US","AMAZON-02, US (AS16509)",,,,,,,,ns-1127.awsdns-12.org.;ns-1934.awsdns-49.co.uk.;ns-289.awsdns-36.com.;ns-720.awsdns-26.net.,awsdns-12.org;awsdns-26.net;awsdns-36.com;co.uk,4,9656353.in1.mandrillapp.com.;9656353.in2.mandrillapp.com.,mandrillapp.com,2,awsdns-hostmaster@amazon.com,
ldentid5s.weebly.com,,0.0,abuse,SafeNames Ltd. (ID447),55195.0,"CIRA-CLOUD1, CA","CIRA-CLOUD1, CA (AS55195)",,,,,,,,,,0,,,0,,
iconex-102359loginactives.weeblysite.com,,0.0,abuse,SafeNames Ltd. (ID447),55195.0,"CIRA-CLOUD1, CA","CIRA-CLOUD1, CA (AS55195)",,,,,,,,,,0,,,0,,
atmc-webmaill.weeblysite.com,,0.0,abuse,SafeNames Ltd. (ID447),394354.0,"CIRA-CLOUD2, CA","CIRA-CLOUD2, CA (AS394354)",,,,,,,,,,0,,,0,,
0nlinevalleystrongscu.weebly.com,,0.0,abuse,SafeNames Ltd. (ID447),55195.0,"CIRA-CLOUD1, CA","CIRA-CLOUD1, CA (AS55195)",,,,,,,,,,0,,,0,,
cpc.com,aurantium-wiki;duo;helpdesk;msoid;nft;office;support;testnft;www,9.0,abuse,Moniker Online Services LLC (ID228),13335.0,"CLOUDFLARENET, US","CLOUDFLARENET, US (AS13335)",,,,,,,,aaden.ns.cloudflare.com.;kate.ns.cloudflare.com.,cloudflare.com,2,us-smtp-inbound-1.mimecast.com.;us-smtp-inbound-2.mimecast.com.,mimecast.com,2,dns@cloudflare.com,
asigng53og.lat,,0.0,UNKNOWN,NAMECHEAP INC,394354.0,"CIRA-CLOUD2, CA","CIRA-CLOUD2, CA (AS394354)",,,,,,,,,,0,,,0,,
generals.standard.us-east-1.oortstorages.com,,0.0,abuse,"GoDaddy.com, LLC (ID146)",394354.0,"CIRA-CLOUD2, CA","CIRA-CLOUD2, CA (AS394354)",,,,,,,,,,0,,,0,,
s3.eu-west-3.amazonaws.com,24x7utcb;34q8dognl1ucdito;36pv4odpbugaftz2;3b1levyvkzysrzbv;4m62vl366p8982wc;6pa9dxndj0f60zul;8oec2eqe0v3ogedj;a2zrlw5cqeuzzmcs;aavex01;adtotally;aijdhk;airliquide-alit-gio-os-patching-979672329747-eu-west-3;alpfgm;anayapehlki;andrismgoc;aperiow;apioer;attestis-affidavits;atypikoo;aureol-catalogues;bilalmuezzin-backoffice;bom1plzcpnl2029;carbuckxiv;catformacio-public;cdn-smartvet-it;checaneus;chorahogxcy;clust-sandbox;colb-public;cristianjara-e063d2a4a0218b;cronosmdm-uat;cvmaker-storage;d7zgvyv1jpqw1grx;dekataatooada;dfns-assets;digitalsheild;enginesalerts;envirolyteegyptcom;evjsr06eyxazcfuv;fcomet-1e3df426cbf5b6964d960;fm-v3-fr-001;framolinmb;g0zzi6s67ct8vik4;gadusgbezoo;garbis;golimelight;grid-ya52hj-stack-org;gripentranssxx;h2usohpt;handooncapa;hilligaschaler;homakkichaltahu;horaktahandonhali466c17a97745a783e151cdf84cfc9k;ifsx-fm8;imbema;instanceaws-replica-8qxb-partition;iucf-oppomobile-com-eu;karlakxa207522887b0ba77b9593cxx;kastarko;kgdfloridalaace;lakriuthaodaix;ldroiuytse;mapefkripy;market-flow-prod;marsaixipip;meradilweb;meradilwebs;meygancksxx;mor1;mosergrmosergr;muhjiihemabd8e7051acbff63t;musk-give-btc;mwu8rybbervxeua6;mycharlotte-dev-uploads;n8uio;norggfrt;oamzimosekf8yak8;oloeoshidey;openfoodfacts-ds;osteo2ls-ntw-prod-recyclable;pa673hj92ns;pakhosafaban;preeloaa;preelogjjjjj;preelohw;reching96454ge66;restoration-yawrslp754-7ffrm8t6rf777-ndd44wc5r7b8n-techycrewsup;reviewdocument-28729p1-ao982739o2lka;rk09r4j9zwst6p2m;s3-edusign;salary-increase-approbal;savintex;sd678lk;secureserver7c9392501651b1c7630d0;secureserver8b3a47bf216daebcab;secureserver94df3a207af19f64792;secureserver9b3a47bf216daebcab;seisoitofish;simonestowndocument-redirecting282908-admin090887;snowymtrmnrifles;soulidarityfoundations;sqweezdrinkseu;technocontrolcorpszx;teirw1zk962d9v18;thakjiwayahu;transfer-storage-transfer-prod-eu-west-3;twenix-assets;vista12;vljt8hio06qx9m4m;www.4m62vl366p8982wc;www.amazon-lxdgcgj;www.mor1;www.pa673hj92ns;www.q2cxqtpl;xeb6djd6h3s0cd21;xvrfvgtdvcwi4t24;zymobile-cdn-eu1,117.0,UNKNOWN,UNKNOWN,16509.0,"AMAZON-02, US","AMAZON-02, US (AS16509)",,,,,,,,ns-1291.awsdns-33.org.;ns-1942.awsdns-50.co.uk.;ns-486.awsdns-60.com.;ns-750.awsdns-29.net.,awsdns-29.net;awsdns-33.org;awsdns-60.com;co.uk,4,,,0,awsdns-hostmaster@amazon.com,
seamotionborabora.com,www,1.0,UNKNOWN,UNKNOWN,208414.0,"WEDOS-GLOBAL, CZ","WEDOS-GLOBAL, CZ (AS208414)",,,,,,,,ns.wedos.com.;ns.wedos.cz.;ns.wedos.eu.;ns.wedos.net.,wedos.com;wedos.cz;wedos.eu;wedos.net,4,wes1-mx-backup.wedos.net.;wes1-mx1.wedos.net.;wes1-mx2.wedos.net.,wedos.net,3,wedos@wedos.com,
web-bridge-apps.gitbook.io,,0.0,UNKNOWN,"Cloudflare, Inc. (ID1910)",55195.0,"CIRA-CLOUD1, CA","CIRA-CLOUD1, CA (AS55195)",,,,,,,,,,0,,,0,,
cryptcmmlokgin-isusse.gitbook.io,,0.0,UNKNOWN,"Cloudflare, Inc. (ID1910)",55195.0,"CIRA-CLOUD1, CA","CIRA-CLOUD1, CA (AS55195)",,,,,,,,,,0,,,0,,
ruthtutgut.de,www,1.0,UNKNOWN,UNKNOWN,6724.0,"STRATO STRATO AG, DE","STRATO STRATO AG, DE (AS6724)",,,,,,,,docks08.rzone.de.;shades16.rzone.de.,rzone.de,2,smtpin.rzone.de.,rzone.de,1,hostmaster@strato-rz.de,
southernhighlandsindoorplanthire.com.au,staging;www.staging,2.0,UNKNOWN,Tucows (Australia) Pty Ltd trading as OpenSRS,40092.0,"ONIAAS, US","ONIAAS, US (AS40092)",,,,,,,,,,0,,,0,,
us3.list-manage.com,1800cpap;1voice;3billion;aac;abrumet;acousticguitar;acsmaterial;ad-medical;adamdental;advertlines;aeb;afahpublishing;affiliatewindow;aglaiaesthetics;aha;aidsark;airbornelabs;alaskagearcompany;algona;alilahotels;alpinehomeair;aluvision;amada;amauthahub;ambienteesalute;amedm;app;aqua;arborbrunswick;arborcrest;arenaide;artemis;asbasupervision;ateierdesanges;atlantaspecialtywoods;badoyasociados;balajientertainment;bayleys;beccaodomwellness;bej-association;bellhop;belltech;beyesdental;biostarus;bitcourse;blessthisstuff;blogspot;bloomberglinea;blue-comms;bmapglobal;bmoautomation;bobbymckeys;boutique-rugby;bouwselect;brand-right;bristolcc;bticomputer;burgerbelangenenschede;businesspracticum;buy-to-let;c21media;cabicon;caitlinsineadjennings;cancernz;careerkeeper;cariskpartners;carolinascollisionassociation;carriemorris;cbdeaseoil;cebb;centralchurchnyc;centreforearlychildhood;centroleopardi;chau-tatau;chemcreative;christmasislandlodge;cibotoday;cinelli-milano;cinemovel;citybeat;ckscrapbookevents;clientenraad;cmh;cncliftarm;colorpointadvertising;communityofinsurance;consepsys;containersforchange;contemposuits;contentactive;cropac;crowning-point;crystaljoys;cukerki;cvgarchitects;cyntegrity;dailyastorian;davidbeede;deadline;dealonomy;denkkrachtig;designazer;dev;dgm;directlinecruises;discoveryeducation;diseno2;districthallboston;dnainfo;dreamcenterlakeland;dreamex;drmelaniegraytheconfidencecoach;ductmate;durhammuseum;earthgoddessrising;economiasolidaria;edgewater;edinburghstjames;efsurebill;ekologiskasaljbolaget;elwafeyat;elysewinery;emfitness;emmi-benchmarks;encose;entertainment;envisionamerica;equippinggroup;estiluz;ethanforscottsdale;etiquetasdepapel;euromeatgolf;eurosort;eximediard;fasanara;fat;fieldcraft;fit;fleethoster;forkliftsnh;forwardpharmacywi;fpcm;freecme;fremontclubhouse;ftgern;fusa;futuregenerationartprize;fvdss;galpalproductions;gastrotech;gener8;getcleartouch;ghanathinktank;ginverter;goal;gofoton;goofyfaces;gopopai;govdirections;grupoandersons;gvpub;haaxmancommunicatie;hackle;hales;hallchadwick;hallohallohallo;handtashanger;happyvacationhomes;hcnews;hcpa;healingpathway;healthyteennetwork;heater;heraldstaronline;hifipig;hinghamanchor;hjartligt;hlivenz;homeandlifestyleexpo;homeatfirst;homecookedroots;houseofelectrical;humansynergistics;hustledivision;iccdglobal;ig-nordbahnhalle;ijacademy;in-lombardia;incor;indianasaver;industriales;industrialmachines;ingate-global;inglis;inlist;innergex;instagram;institutosistemicoredes;insurancejournal;intactgenomics;inthekeyofsuccess;inventivapr;investready;ionix;iotzma;irudek;isdp;isetankl;itamaraty;iwc;jbmarwood;jcramsdell;jcsu;jeffatwater;johnsoncreeklibrary;jointhecommune;jointhejourney;juliemerrett;justinguitar;kaizen-payments;kampioncardgame;kawarthalakes;keithmillercounseling;kennedyart;kevinhalloran;kionhome;kmpr;knx;kookaburrasport;kwalu;labor-rothen;laboratorioscamacho;laboursites;lanceerlick;lapalma;laqq;latinxed;laurawacha;lawyersworldwide;leadersystems;legalresources;leromandie;lisaalamode;literallyfilms;loeters;logimat-sea;longrunretirement;looksmartmodels;lselectric;lsh;luenebuch;magicmotorsport;marathonvillage;marchespublics-mtl;marinerplumbing;mc;mcalistersdeli;menloinnovations;mercacanarias;mgchemicals;mgenesis;mgtechsoft;miamimachine;mikuniwildharvest;mineralta;minimotives;mnsoilhealth;monv;mydealz;neca;neighborhoodpartnerships;nevadanettraining;nff;nickyoliver;nikoi;northastonfarms;npg;nuclearmarketing;nucleus;nuisms;nurture-group;oab;oceancoyacht;odrumpark;offthehookys;okcballet;onietibbitt;online;originbifolds;otterenergy;outbreach;outsidelands;pajot-zenne;paquette;passportparking;pcpc;people-cloud;perceptive-analytics;petitsrois;pieterman;pilotinstitute;pindstrupcentret;plansight;playpenn;powerelectrics;powerlabs;powerofattorneyonline;pppnet;probeleggen;projectwrite;propertyone;protoconvert;psyhigh;puntodis;pyretosnackan;quadcinema;quasir;radiology;ragefitnesscompany;re-genuk;regenenviro;reptiletech;rescuingleftovercuisine;resin;responsecrew;retraitecentrum;rgalexander;rh2equitypartners;rickobeyyachtsales;ridemcts;rjhubs;rlssaguenaylacstjean;rmjfoundation;roadkillsolutions;rockthesport;rootandrebound;royalstranger;rumos;rushhourkarting;russellvacationrentals;rv-times;rwholmes;rwlw;ryanwindsor;sabahhub;sabreteam;salden;samplesupports;sandiegocomicconmalaga;schonezaken;scienceetnature;senwelladvisors;sgbcllen;sierrashea;sitesell;skincancer;slave-revolt;smallsauctions;smehorizon;sng-easttn;sodeico;softwarecheck;solarbusinesshub;solidsurfhouse;southerngraces;spicecrm;sportsmansnews;sproutscorner;sserc;stbuinc;stockmeier;stoptb;stratify;superhumane;swindondance;talkingpointsmemo;teby;techprocure;techut;tecnoveritas;tekboost;testassociates;tflexsys;thebigpicture;thechampagnecompany;thegoodlifehealth;themathergroupllc;thenextscoop;theoldchurch;theparentscircle;theschooloflife;thinkbigtech;threadtheory;tireindustryresearch;titansofcnc;tonyasinger;townbrookhaven;tradeeasy;transcontinenta;trulyyours;tsg-solutions;tuivigopj;tvw;txdla;ubrix;ultrarunning;unimelb;unitedwaytv;upcycledsounds;upfront;useful-minds;ute;valrhona-chocolate;vanguardia;variantevents;varunashiprepair;verhoevenfamily;vibeia;visitcanberra;vogueoptical;wales;weallcount;weareportcity;weistec;whebgroup;wilsonscolchester;winchesterhub;winstonfoodservice;wolfsberg-group;yaterelayforlife;zaychuk;zivzo,432.0,abusecomplaints,"MarkMonitor, Inc.",0.0,UNKNOWN,UNKNOWN (AS0),,,,,,,,,,0,,,0,,
us6.campaign-archive.com,,0.0,abusecomplaints,"MarkMonitor, Inc.",16625.0,"AKAMAI-AS, US","AKAMAI-AS, US (AS16625)",,,,,,,,,,0,,,0,,
us17.campaign-archive.com,,0.0,abusecomplaints,"MarkMonitor, Inc.",16625.0,"AKAMAI-AS, US","AKAMAI-AS, US (AS16625)",,,,,,,,,,0,,,0,,
en-ledgr-liv-sso.pages.dev,www,1.0,UNKNOWN,UNKNOWN,394354.0,"CIRA-CLOUD2, CA","CIRA-CLOUD2, CA (AS394354)",,,,,,,,addilyn.ns.cloudflare.com.;kellen.ns.cloudflare.com.,cloudflare.com,2,,,0,dns@cloudflare.com,
atlantianpress.com,www,1.0,UNKNOWN,UNKNOWN,55195.0,"CIRA-CLOUD1, CA","CIRA-CLOUD1, CA (AS55195)",,,,,,,,dns1.zionwebhosting.com.;dns2.zionwebhosting.com.,zionwebhosting.com,2,atlantianpress.com.,atlantianpress.com,1,noc-admin@server.gb.net,
vinci-fr-reglement.com,,0.0,abuse,Hosting Concepts B.V. d/b/a Registrar.eu (ID1647),394354.0,"CIRA-CLOUD2, CA","CIRA-CLOUD2, CA (AS394354)",,,,,,,,ina1.registrar.eu.;ina2.registrar.eu.;ina3.registrar.eu.,registrar.eu,3,,,0,noreply@registrar.eu,
