label,domain,ips,asn,asn_description,asn_country,registrar,creation_date,expiration_date,sld,tld,ns_hosts,ns_base,ns_count,mx_hosts,mx_base,mx_count,soa_email,ip_count
ClearFake,wolfe.nebulaquelle3.ru,,,,,REGRU-RU,2025-11-18,2026-11-18,nebulaquelle3,ru,,,0,,,0,,
ClearFake,eis.nebulaquelle3.ru,,,,,REGRU-RU,2025-11-18,2026-11-18,nebulaquelle3,ru,,,0,,,0,,
XWorm,submit-offered.gl.at.ply.gg,147.185.221.21,400519.0,"PLAYIT-GG, US",US,"NameCheap, Inc (https://www.namecheap.com)",2022-08-21,,ply,gg,,,0,,,0,,1.0
XWorm,take-fragrances.gl.at.ply.gg,147.185.221.21,400519.0,"PLAYIT-GG, US",US,"NameCheap, Inc (https://www.namecheap.com)",2022-08-21,,ply,gg,,,0,,,0,,1.0
Remcos,thales3033.com,,,,,,,,thales3033,com,,,0,,,0,,
Quasar RAT,milogviolo.ddns.net,127.1.2.3,,,,,,,ddns,net,,,0,,,0,,1.0
Phorpiex,rghirgsrfzjjfsrzj.ru,,,,,,,,rghirgsrfzjjfsrzj,ru,,,0,,,0,,
Phorpiex,rghirgsrfzjjfsrzjr.su,,,,,,,,rghirgsrfzjjfsrzjr,su,,,0,,,0,,
Phorpiex,rghirgsrogddhjtdj.ru,,,,,,,,rghirgsrogddhjtdj,ru,,,0,,,0,,
Phorpiex,rghirgsrogddhjtdjr.su,,,,,,,,rghirgsrogddhjtdjr,su,,,0,,,0,,
Phorpiex,rghirgsrogrefsesg.ru,,,,,,,,rghirgsrogrefsesg,ru,,,0,,,0,,
Phorpiex,rghirgsrogrefsesgr.su,,,,,,,,rghirgsrogrefsesgr,su,,,0,,,0,,
Phorpiex,rghirgsrogrhdthsr.ru,,,,,,,,rghirgsrogrhdthsr,ru,,,0,,,0,,
Phorpiex,rghirgsrogrhdthsrr.su,,,,,,,,rghirgsrogrhdthsrr,su,,,0,,,0,,
Phorpiex,rghirgsrogrsfsegh.ru,,,,,,,,rghirgsrogrsfsegh,ru,,,0,,,0,,
Phorpiex,rghirgsrogrsfseghr.su,,,,,,,,rghirgsrogrsfseghr,su,,,0,,,0,,
Phorpiex,rghirgsrogrsfzjfsr.su,,,,,,,,rghirgsrogrsfzjfsr,su,,,0,,,0,,
Phorpiex,rghirgsrogrshggirr.su,,,,,,,,rghirgsrogrshggirr,su,,,0,,,0,,
Phorpiex,rghirgsrogrshghsh.ru,,,,,,,,rghirgsrogrshghsh,ru,,,0,,,0,,
Phorpiex,rghirgsrogrshghshr.su,,,,,,,,rghirgsrogrshghshr,su,,,0,,,0,,
Phorpiex,rghirgsrogrstjgrr.ru,,,,,,,,rghirgsrogrstjgrr,ru,,,0,,,0,,
Phorpiex,rghirgsrogrstjgrrr.su,,,,,,,,rghirgsrogrstjgrrr,su,,,0,,,0,,
Phorpiex,rghirgsrsrgsreidg.ru,,,,,,,,rghirgsrsrgsreidg,ru,,,0,,,0,,
Phorpiex,rghirgsrsrgsreidgr.su,,,,,,,,rghirgsrsrgsreidgr,su,,,0,,,0,,
Mirai,bot.sinestreacute.fun,,,,,"GoDaddy.com, LLC",2025-03-25,2026-03-25,sinestreacute,fun,,,0,,,0,,
DCRat,consultaprocesosramajudicialgov.run.place,69.167.11.120,40861.0,"PARAD-40-ASN, US",US,,,,run,place,ns10.dnsexit.com.;ns11.dnsexit.com.;ns12.dnsexit.com.;ns13.dnsexit.com.,dnsexit.com,4,,,0,admin@netdorm.com,1.0
AsyncRAT,xoilacv.ac,,,,,NAMECHEAP INC,2025-11-15,2026-11-15,xoilacv,ac,,,0,,,0,,
AsyncRAT,cdn.xoilac86s.cc,127.1.2.3,,,,"GoDaddy.com, LLC",2025-06-20,2026-06-20,xoilac86s,cc,,,0,,,0,,1.0
AsyncRAT,gatex.www.moroccancam.com,127.1.2.3,,,,"GoDaddy.com, LLC",2019-07-07,2026-07-07,moroccancam,com,,,0,,,0,,1.0
AsyncRAT,static.xoilac86s.cc,127.1.2.3,,,,"GoDaddy.com, LLC",2025-06-20,2026-06-20,xoilac86s,cc,,,0,,,0,,1.0
ClearFake,dune.kieselufer8.ru,,,,,REGRU-RU,2025-11-18,2026-11-18,kieselufer8,ru,,,0,,,0,,
Quasar RAT,syonr-23784.portmap.io,127.1.2.3,,,,"NameCheap, Inc.",2016-12-28,2025-12-28,portmap,io,,,0,,,0,,1.0
Quasar RAT,interest-weather.gl.at.ply.gg,147.185.221.21,400519.0,"PLAYIT-GG, US",US,"NameCheap, Inc (https://www.namecheap.com)",2022-08-21,,ply,gg,,,0,,,0,,1.0
Quasar RAT,parties-trance.gl.at.ply.gg,127.1.2.3,,,,"NameCheap, Inc (https://www.namecheap.com)",2022-08-21,,ply,gg,,,0,,,0,,1.0
Remcos,huckypet2.ydns.eu,37.120.206.166,9009.0,"M247, RO",RO,INWX GmbH,,,ydns,eu,,,0,,,0,,1.0
Remcos,huckypet.ydns.eu,37.120.206.166,9009.0,"M247, RO",RO,INWX GmbH,,,ydns,eu,,,0,,,0,,1.0
ClearFake,weiss.kieselufer8.ru,,,,,REGRU-RU,2025-11-18,2026-11-18,kieselufer8,ru,,,0,,,0,,
Tuoni,udefined30.domainofhonour40.xyz,,,,,,,,domainofhonour40,xyz,,,0,,,0,,
Tuoni,kupaoquan.com,206.81.10.0,14061.0,"DIGITALOCEAN-ASN, US",US,WEBCC,2025-09-30,2026-09-30,kupaoquan,com,elsa.ns.cloudflare.com.;morgan.ns.cloudflare.com.,cloudflare.com,2,,,0,dns@cloudflare.com,1.0
ClearFake,kleea.kieselufer8.ru,,,,,REGRU-RU,2025-11-18,2026-11-18,kieselufer8,ru,,,0,,,0,,
Unknown malware,aptabase.fud2026.xyz,147.93.153.119,141995.0,"CAPL-AS-AP Contabo Asia Private Limited, SG",DE,"Name.com, Inc.",2025-10-17,2026-10-17,fud2026,xyz,,,0,,,0,,1.0
Unknown malware,timeserver.uasecurity.org,207.90.195.25,26832.0,"RICAWEBSERVICES, CA",CA,"Cloudflare, Inc.",2024-07-12,2026-07-12,uasecurity,org,,,0,,,0,,1.0
ClearFake,falke.kieselufer8.ru,,,,,REGRU-RU,2025-11-18,2026-11-18,kieselufer8,ru,,,0,,,0,,
ClearFake,fjord.kieselufer8.ru,,,,,REGRU-RU,2025-11-18,2026-11-18,kieselufer8,ru,,,0,,,0,,
ClearFake,glowe.aurora1hain.ru,,,,,REGRU-RU,2025-11-18,2026-11-18,aurora1hain,ru,,,0,,,0,,
ClearFake,moos.aurora1hain.ru,,,,,REGRU-RU,2025-11-18,2026-11-18,aurora1hain,ru,,,0,,,0,,
ClearFake,stern.aurora1hain.ru,,,,,REGRU-RU,2025-11-18,2026-11-18,aurora1hain,ru,,,0,,,0,,
ClearFake,rauch.2tannenpfad.ru,,,,,REGRU-RU,2025-11-18,2026-11-18,2tannenpfad,ru,,,0,,,0,,
ClearFake,gleem.2tannenpfad.ru,,,,,REGRU-RU,2025-11-18,2026-11-18,2tannenpfad,ru,,,0,,,0,,
ClearFake,birhc.2tannenpfad.ru,,,,,REGRU-RU,2025-11-18,2026-11-18,2tannenpfad,ru,,,0,,,0,,
ClearFake,wolkr.2tannenpfad.ru,,,,,REGRU-RU,2025-11-18,2026-11-18,2tannenpfad,ru,,,0,,,0,,
ClearFake,bruke.s1lvergate.ru,"104.21.15.146,172.67.162.202",13335.0,"CLOUDFLARENET, US",US,REGRU-RU,2025-11-18,2026-11-18,s1lvergate,ru,,,0,,,0,,2.0
ClearFake,weald.s1lvergate.ru,"104.21.15.146,172.67.162.202",13335.0,"CLOUDFLARENET, US",US,REGRU-RU,2025-11-18,2026-11-18,s1lvergate,ru,,,0,,,0,,2.0
ClearFake,argent.s1lvergate.ru,"104.21.15.146,172.67.162.202",13335.0,"CLOUDFLARENET, US",US,REGRU-RU,2025-11-18,2026-11-18,s1lvergate,ru,,,0,,,0,,2.0
ClearFake,flair.firer1dge.ru,"104.21.79.161,172.67.146.149",13335.0,"CLOUDFLARENET, US",US,REGRU-RU,2025-11-18,2026-11-18,firer1dge,ru,,,0,,,0,,2.0
ClearFake,cindr.firer1dge.ru,"104.21.79.161,172.67.146.149",13335.0,"CLOUDFLARENET, US",US,REGRU-RU,2025-11-18,2026-11-18,firer1dge,ru,,,0,,,0,,2.0
ClearFake,brige.firer1dge.ru,"104.21.79.161,172.67.146.149",13335.0,"CLOUDFLARENET, US",US,REGRU-RU,2025-11-18,2026-11-18,firer1dge,ru,,,0,,,0,,2.0
ClearFake,ambr.firer1dge.ru,"104.21.79.161,172.67.146.149",13335.0,"CLOUDFLARENET, US",US,REGRU-RU,2025-11-18,2026-11-18,firer1dge,ru,,,0,,,0,,2.0
ClearFake,sumer.brightden.ru,"104.21.46.242,172.67.143.48",13335.0,"CLOUDFLARENET, US",US,REGRU-RU,2025-11-18,2026-11-18,brightden,ru,,,0,,,0,,2.0
ClearFake,brisk.brightden.ru,"104.21.46.242,172.67.143.48",13335.0,"CLOUDFLARENET, US",US,REGRU-RU,2025-11-18,2026-11-18,brightden,ru,,,0,,,0,,2.0
ClearFake,dawne.brightden.ru,"104.21.46.242,172.67.143.48",13335.0,"CLOUDFLARENET, US",US,REGRU-RU,2025-11-18,2026-11-18,brightden,ru,,,0,,,0,,2.0
ClearFake,gloww.brightden.ru,"104.21.46.242,172.67.143.48",13335.0,"CLOUDFLARENET, US",US,REGRU-RU,2025-11-18,2026-11-18,brightden,ru,,,0,,,0,,2.0
ClearFake,turne.mistytrai1.ru,"104.21.95.94,172.67.144.21",13335.0,"CLOUDFLARENET, US",US,REGRU-RU,2025-11-18,2026-11-18,mistytrai1,ru,,,0,,,0,,2.0
ClearFake,pfth.mistytrai1.ru,"104.21.95.94,172.67.144.21",13335.0,"CLOUDFLARENET, US",US,REGRU-RU,2025-11-18,2026-11-18,mistytrai1,ru,,,0,,,0,,2.0
ClearFake,foggy.mistytrai1.ru,"104.21.95.94,172.67.144.21",13335.0,"CLOUDFLARENET, US",US,REGRU-RU,2025-11-18,2026-11-18,mistytrai1,ru,,,0,,,0,,2.0
ClearFake,silem.s0ftvale.ru,"104.21.24.71,172.67.217.92",13335.0,"CLOUDFLARENET, US",US,REGRU-RU,2025-11-18,2026-11-18,s0ftvale,ru,,,0,,,0,,2.0
ClearFake,breez.s0ftvale.ru,"104.21.24.71,172.67.217.92",13335.0,"CLOUDFLARENET, US",US,REGRU-RU,2025-11-18,2026-11-18,s0ftvale,ru,,,0,,,0,,2.0
ClearFake,wylde.s0ftvale.ru,"104.21.24.71,172.67.217.92",13335.0,"CLOUDFLARENET, US",US,REGRU-RU,2025-11-18,2026-11-18,s0ftvale,ru,,,0,,,0,,2.0
ClearFake,vally.s0ftvale.ru,"104.21.24.71,172.67.217.92",13335.0,"CLOUDFLARENET, US",US,REGRU-RU,2025-11-18,2026-11-18,s0ftvale,ru,,,0,,,0,,2.0
ClearFake,gusty.rainv1sta.ru,"104.21.91.236,172.67.181.234",13335.0,"CLOUDFLARENET, US",US,REGRU-RU,2025-11-18,2026-11-18,rainv1sta,ru,,,0,,,0,,2.0
ClearFake,medow.rainv1sta.ru,"104.21.91.236,172.67.181.234",13335.0,"CLOUDFLARENET, US",US,REGRU-RU,2025-11-18,2026-11-18,rainv1sta,ru,,,0,,,0,,2.0
ClearFake,drizz.rainv1sta.ru,"104.21.91.236,172.67.181.234",13335.0,"CLOUDFLARENET, US",US,REGRU-RU,2025-11-18,2026-11-18,rainv1sta,ru,,,0,,,0,,2.0
ClearFake,pfed.deepv0yage.ru,"104.21.34.143,172.67.161.175",13335.0,"CLOUDFLARENET, US",US,REGRU-RU,2025-11-18,2026-11-18,deepv0yage,ru,,,0,,,0,,2.0
ClearFake,wolke.deepv0yage.ru,"104.21.34.143,172.67.161.175",13335.0,"CLOUDFLARENET, US",US,REGRU-RU,2025-11-18,2026-11-18,deepv0yage,ru,,,0,,,0,,2.0
ClearFake,trakk.deepv0yage.ru,"104.21.34.143,172.67.161.175",13335.0,"CLOUDFLARENET, US",US,REGRU-RU,2025-11-18,2026-11-18,deepv0yage,ru,,,0,,,0,,2.0
ClearFake,gleem.deepv0yage.ru,"104.21.34.143,172.67.161.175",13335.0,"CLOUDFLARENET, US",US,REGRU-RU,2025-11-18,2026-11-18,deepv0yage,ru,,,0,,,0,,2.0
ClearFake,harbr.deepv0yage.ru,"104.21.34.143,172.67.161.175",13335.0,"CLOUDFLARENET, US",US,REGRU-RU,2025-11-18,2026-11-18,deepv0yage,ru,,,0,,,0,,2.0
ClearFake,weald.0akstream.ru,"104.21.44.176,172.67.202.94",13335.0,"CLOUDFLARENET, US",US,REGRU-RU,2025-11-18,2026-11-18,0akstream,ru,,,0,,,0,,2.0
ClearFake,bruke.0akstream.ru,"104.21.44.176,172.67.202.94",13335.0,"CLOUDFLARENET, US",US,REGRU-RU,2025-11-18,2026-11-18,0akstream,ru,,,0,,,0,,2.0
ClearFake,mossy.0akstream.ru,"104.21.44.176,172.67.202.94",13335.0,"CLOUDFLARENET, US",US,REGRU-RU,2025-11-18,2026-11-18,0akstream,ru,,,0,,,0,,2.0
ClearFake,rivul.0akstream.ru,"104.21.44.176,172.67.202.94",13335.0,"CLOUDFLARENET, US",US,REGRU-RU,2025-11-18,2026-11-18,0akstream,ru,,,0,,,0,,2.0
ClearFake,licth.crysta1shore.ru,"104.21.53.48,172.67.209.2",13335.0,"CLOUDFLARENET, US",US,REGRU-RU,2025-11-18,2026-11-18,crysta1shore,ru,,,0,,,0,,2.0
ClearFake,quarz.crysta1shore.ru,"104.21.53.48,172.67.209.2",13335.0,"CLOUDFLARENET, US",US,REGRU-RU,2025-11-18,2026-11-18,crysta1shore,ru,,,0,,,0,,2.0
ClearFake,shoal.crysta1shore.ru,"104.21.53.48,172.67.209.2",13335.0,"CLOUDFLARENET, US",US,REGRU-RU,2025-11-18,2026-11-18,crysta1shore,ru,,,0,,,0,,2.0
Venom RAT,boxfile.securefile.xyz,151.245.195.177,212238.0,"CDNEXT, GB",AE,WEBCC,2025-11-13,2026-11-13,securefile,xyz,,,0,,,0,,1.0
Hook,icebetalst.xyz,"104.21.59.72,172.67.217.166",13335.0,"CLOUDFLARENET, US",US,WEBCC,2025-06-21,2026-06-21,icebetalst,xyz,jaime.ns.cloudflare.com.;maisie.ns.cloudflare.com.,cloudflare.com,2,,,0,dns@cloudflare.com,2.0
Cobalt Strike,www.jianxianxt.cn,47.121.137.8,37963.0,"ALIBABA-CN-NET Hangzhou Alibaba Advertising Co.,Ltd., CN",CN,阿里云计算有限公司（万网）,2024-01-20,2027-01-20,jianxianxt,cn,,,0,,,0,,1.0
ClearFake,tall.moonf1eld.ru,"104.21.31.16,172.67.174.163",13335.0,"CLOUDFLARENET, US",US,REGRU-RU,2025-11-18,2026-11-18,moonf1eld,ru,,,0,,,0,,2.0
Cobalt Strike,374y246zera4r.cfc-execute.bj.baidubce.com,110.242.69.30,4837.0,"CHINA169-BACKBONE CHINA UNICOM China169 Backbone, CN",CN,Key-Systems GmbH,2014-06-27,2026-06-27,baidubce,com,,,0,,,0,,1.0
ClearFake,winde.moonf1eld.ru,"104.21.31.16,172.67.174.163",13335.0,"CLOUDFLARENET, US",US,REGRU-RU,2025-11-18,2026-11-18,moonf1eld,ru,,,0,,,0,,2.0
ClearFake,glanz.moonf1eld.ru,"104.21.31.16,172.67.174.163",13335.0,"CLOUDFLARENET, US",US,REGRU-RU,2025-11-18,2026-11-18,moonf1eld,ru,,,0,,,0,,2.0
ClearFake,brige.moonf1eld.ru,"104.21.31.16,172.67.174.163",13335.0,"CLOUDFLARENET, US",US,REGRU-RU,2025-11-18,2026-11-18,moonf1eld,ru,,,0,,,0,,2.0
ClearFake,mooss.moonf1eld.ru,"104.21.31.16,172.67.174.163",13335.0,"CLOUDFLARENET, US",US,REGRU-RU,2025-11-18,2026-11-18,moonf1eld,ru,,,0,,,0,,2.0
ClearFake,rauch.st0nedrift.ru,"104.21.5.52,172.67.132.253",13335.0,"CLOUDFLARENET, US",US,REGRU-RU,2025-11-18,2026-11-18,st0nedrift,ru,,,0,,,0,,2.0
ClearFake,kleea.st0nedrift.ru,"104.21.5.52,172.67.132.253",13335.0,"CLOUDFLARENET, US",US,REGRU-RU,2025-11-18,2026-11-18,st0nedrift,ru,,,0,,,0,,2.0
ClearFake,sterm.st0nedrift.ru,"104.21.5.52,172.67.132.253",13335.0,"CLOUDFLARENET, US",US,REGRU-RU,2025-11-18,2026-11-18,st0nedrift,ru,,,0,,,0,,2.0
ClearFake,uefer.c1earpeak.ru,"104.21.75.136,172.67.177.77",13335.0,"CLOUDFLARENET, US",US,REGRU-RU,2025-11-18,2026-11-18,c1earpeak,ru,,,0,,,0,,2.0
Unknown malware,verify-connection.cfd,,,,,WEBCC,2025-11-18,2026-11-18,verify-connection,cfd,,,0,,,0,,
ClearFake,birhc.c1earpeak.ru,"104.21.75.136,172.67.177.77",13335.0,"CLOUDFLARENET, US",US,REGRU-RU,2025-11-18,2026-11-18,c1earpeak,ru,,,0,,,0,,2.0
Unknown malware,getyourownbook.com,78.159.156.107,214943.0,"RAILNET, US",BG,"GoDaddy.com, LLC",2013-12-21,2025-12-21,getyourownbook,com,ns1.stackdns.com.;ns2.stackdns.com.;ns3.stackdns.com.;ns4.stackdns.com.,stackdns.com,4,mx.stackmail.com.,stackmail.com,1,hostmaster@stackdns.com,1.0
Unknown malware,verify-page.info,"104.21.57.184,172.67.165.115",13335.0,"CLOUDFLARENET, US",US,,,,verify-page,info,eric.ns.cloudflare.com.;jen.ns.cloudflare.com.,cloudflare.com,2,,,0,dns@cloudflare.com,2.0
ClearFake,glowe.c1earpeak.ru,"104.21.75.136,172.67.177.77",13335.0,"CLOUDFLARENET, US",US,REGRU-RU,2025-11-18,2026-11-18,c1earpeak,ru,,,0,,,0,,2.0
ClearFake,wolkr.c1earpeak.ru,"104.21.75.136,172.67.177.77",13335.0,"CLOUDFLARENET, US",US,REGRU-RU,2025-11-18,2026-11-18,c1earpeak,ru,,,0,,,0,,2.0
ClearFake,eis.l1ghtseed.ru,"104.21.66.199,172.67.164.31",13335.0,"CLOUDFLARENET, US",US,REGRU-RU,2025-11-18,2026-11-18,l1ghtseed,ru,,,0,,,0,,2.0
ClearFake,tau.l1ghtseed.ru,"104.21.66.199,172.67.164.31",13335.0,"CLOUDFLARENET, US",US,REGRU-RU,2025-11-18,2026-11-18,l1ghtseed,ru,,,0,,,0,,2.0
ClearFake,moos.l1ghtseed.ru,"104.21.66.199,172.67.164.31",13335.0,"CLOUDFLARENET, US",US,REGRU-RU,2025-11-18,2026-11-18,l1ghtseed,ru,,,0,,,0,,2.0
ClearFake,stern.l1ghtseed.ru,"104.21.66.199,172.67.164.31",13335.0,"CLOUDFLARENET, US",US,REGRU-RU,2025-11-18,2026-11-18,l1ghtseed,ru,,,0,,,0,,2.0
ClearFake,glut.l1ghtseed.ru,"104.21.66.199,172.67.164.31",13335.0,"CLOUDFLARENET, US",US,REGRU-RU,2025-11-18,2026-11-18,l1ghtseed,ru,,,0,,,0,,2.0
ClearFake,fels.w1ndmark.ru,"104.21.80.192,172.67.153.76",13335.0,"CLOUDFLARENET, US",US,REGRU-RU,2025-11-18,2026-11-18,w1ndmark,ru,,,0,,,0,,2.0
ClearFake,weg.w1ndmark.ru,"104.21.80.192,172.67.153.76",13335.0,"CLOUDFLARENET, US",US,REGRU-RU,2025-11-18,2026-11-18,w1ndmark,ru,,,0,,,0,,2.0
ClearFake,korn.w1ndmark.ru,"104.21.80.192,172.67.153.76",13335.0,"CLOUDFLARENET, US",US,REGRU-RU,2025-11-18,2026-11-18,w1ndmark,ru,,,0,,,0,,2.0
ClearFake,tal.s0ftwind.ru,"104.21.90.91,172.67.198.89",13335.0,"CLOUDFLARENET, US",US,REGRU-RU,2025-11-18,2026-11-18,s0ftwind,ru,,,0,,,0,,2.0
ClearFake,licht.s0ftwind.ru,"104.21.90.91,172.67.198.89",13335.0,"CLOUDFLARENET, US",US,REGRU-RU,2025-11-18,2026-11-18,s0ftwind,ru,,,0,,,0,,2.0
ClearFake,ufer.s0ftwind.ru,"104.21.90.91,172.67.198.89",13335.0,"CLOUDFLARENET, US",US,REGRU-RU,2025-11-18,2026-11-18,s0ftwind,ru,,,0,,,0,,2.0
Venom RAT,vendas.securefile.xyz,151.245.195.177,212238.0,"CDNEXT, GB",AE,WEBCC,2025-11-13,2026-11-13,securefile,xyz,,,0,,,0,,1.0
ClearFake,nest.s0ftwind.ru,"104.21.90.91,172.67.198.89",13335.0,"CLOUDFLARENET, US",US,REGRU-RU,2025-11-18,2026-11-18,s0ftwind,ru,,,0,,,0,,2.0
ClearFake,grat.brightv1be.ru,"104.21.33.233,172.67.193.159",13335.0,"CLOUDFLARENET, US",US,REGRU-RU,2025-11-18,2026-11-18,brightv1be,ru,,,0,,,0,,2.0
ClearFake,wolke.brightv1be.ru,"104.21.33.233,172.67.193.159",13335.0,"CLOUDFLARENET, US",US,REGRU-RU,2025-11-18,2026-11-18,brightv1be,ru,,,0,,,0,,2.0
ClearFake,zorn.brightv1be.ru,"104.21.33.233,172.67.193.159",13335.0,"CLOUDFLARENET, US",US,REGRU-RU,2025-11-18,2026-11-18,brightv1be,ru,,,0,,,0,,2.0
ClearFake,moos.br1ghtf0x.ru,"104.21.8.56,172.67.188.81",13335.0,"CLOUDFLARENET, US",US,REGRU-RU,2025-11-18,2026-11-18,br1ghtf0x,ru,,,0,,,0,,2.0
ClearFake,rauch.br1ghtf0x.ru,"104.21.8.56,172.67.188.81",13335.0,"CLOUDFLARENET, US",US,REGRU-RU,2025-11-18,2026-11-18,br1ghtf0x,ru,,,0,,,0,,2.0
ClearFake,harz.br1ghtf0x.ru,"104.21.8.56,172.67.188.81",13335.0,"CLOUDFLARENET, US",US,REGRU-RU,2025-11-18,2026-11-18,br1ghtf0x,ru,,,0,,,0,,2.0
ClearFake,adler.br1ghtf0x.ru,"104.21.8.56,172.67.188.81",13335.0,"CLOUDFLARENET, US",US,REGRU-RU,2025-11-18,2026-11-18,br1ghtf0x,ru,,,0,,,0,,2.0
Unknown malware,akaishi-sankodo.co.jp,162.43.122.4,131965.0,"XSERVER Xserver Inc., JP",JP,,2000-05-15,,co,jp,ns1.xserver.jp.;ns2.xserver.jp.;ns3.xserver.jp.;ns4.xserver.jp.;ns5.xserver.jp.,xserver.jp,5,akaishi-sankodo.co.jp.,co.jp,1,root@xserver.jp,1.0
ClearFake,birke.br1ghtf0x.ru,"104.21.8.56,172.67.188.81",13335.0,"CLOUDFLARENET, US",US,REGRU-RU,2025-11-18,2026-11-18,br1ghtf0x,ru,,,0,,,0,,2.0
ClearFake,klee.crystalrun.ru,"104.21.26.212,172.67.139.106",13335.0,"CLOUDFLARENET, US",US,REGRU-RU,2025-11-18,2026-11-18,crystalrun,ru,,,0,,,0,,2.0
ClearFake,weiss.crystalrun.ru,"104.21.26.212,172.67.139.106",13335.0,"CLOUDFLARENET, US",US,REGRU-RU,2025-11-18,2026-11-18,crystalrun,ru,,,0,,,0,,2.0
NetSupportManager RAT,graphicdesy.com,85.158.111.81,202015.0,"HZ-US-AS, BG",BG,"Spaceship, Inc.",2025-11-18,2026-11-18,graphicdesy,com,launch1.spaceship.net.;launch2.spaceship.net.,spaceship.net,2,,,0,support@spaceship.com,1.0
ClearFake,falke.crystalrun.ru,"104.21.26.212,172.67.139.106",,,,REGRU-RU,2025-11-18,2026-11-18,crystalrun,ru,,,0,,,0,,2.0
ClearFake,pfad.crystalrun.ru,"104.21.26.212,172.67.139.106",13335.0,"CLOUDFLARENET, US",US,REGRU-RU,2025-11-18,2026-11-18,crystalrun,ru,,,0,,,0,,2.0
Unknown malware,fukugyo-paradise.com,183.181.98.159,131965.0,"XSERVER Xserver Inc., JP",JP,"XServer, Inc.",2025-08-19,2026-08-19,fukugyo-paradise,com,ns1.xserver.jp.;ns2.xserver.jp.;ns3.xserver.jp.;ns4.xserver.jp.;ns5.xserver.jp.,xserver.jp,5,,,0,root@xserver.jp,1.0
ClearFake,hafen.r1verbend.ru,"104.21.8.149,172.67.130.138",13335.0,"CLOUDFLARENET, US",US,REGRU-RU,2025-11-18,2026-11-18,r1verbend,ru,,,0,,,0,,2.0
Unknown malware,zerodegreefoods.com,209.182.233.214,29802.0,"HVC-AS, US",US,Squarespace Domains II LLC,2015-02-16,2031-02-16,zerodegreefoods,com,ns1.turbocloud.in.;ns2.turbocloud.in.,turbocloud.in,2,mail.zerodegreefoods.com.,zerodegreefoods.com,1,hostmaster@zerodegreefoods.com,1.0
Unknown malware,top88t8.com,"104.21.5.100,172.67.154.116",13335.0,"CLOUDFLARENET, US",US,"Wild West Domains, LLC",2023-03-22,2026-03-22,top88t8,com,arch.ns.cloudflare.com.;maxine.ns.cloudflare.com.,cloudflare.com,2,,,0,dns@cloudflare.com,2.0
Unknown malware,cndirect.com,52.204.67.114,14618.0,"AMAZON-AES, US",US,"GoDaddy.com, LLC",2006-10-23,2026-10-23,cndirect,com,ns63.domaincontrol.com.;ns64.domaincontrol.com.,domaincontrol.com,2,alt1.aspmx.l.google.com.;alt2.aspmx.l.google.com.;aspmx.l.google.com.;aspmx2.googlemail.com.;aspmx3.googlemail.com.;aspmx4.googlemail.com.;aspmx5.googlemail.com.,google.com;googlemail.com,7,dns@jomax.net,1.0
