actor,domain,ips,asn,asn_description,asn_country,registrar,creation_date,expiration_date,sld,tld,ns_hosts,ns_base,ns_count,mx_hosts,mx_base,mx_count,soa_email,ip_count
Lampion,at-portaldasfinancas-pt.org,,,,,Realtime Register B.V.,2025-10-08,2026-10-08,at-portaldasfinancas-pt,org,,,0,,,0,,
Lampion,at-portaldasfinancas.com,,,,,PDR Ltd. d/b/a PublicDomainRegistry.com,2025-04-07,2026-04-07,at-portaldasfinancas,com,,,0,,,0,,
Lampion,at-portaldasfinancas.org,45.83.122.39,200313.0,"INTERNET-IT, VG",VG,Center of Ukrainian Internet Names (UKRNAMES),2025-05-17,2026-05-17,at-portaldasfinancas,org,ns1.hosting.reg.ru.;ns2.hosting.reg.ru.,reg.ru,2,mail.at-portaldasfinancas.org.,at-portaldasfinancas.org,1,ispnl@ispnl.hyperhost.ua,1.0
Lampion,atportal-das-financas.com,45.83.122.39,200313.0,"INTERNET-IT, VG",VG,Center of Ukrainian Internet Names (UKRNAMES),2025-05-12,2026-05-12,atportal-das-financas,com,ns1.hosting.reg.ru.;ns2.hosting.reg.ru.,reg.ru,2,mail.atportal-das-financas.com.,atportal-das-financas.com,1,ispnl@ispnl.hyperhost.ua,1.0
Lampion,autoridade-tributaria-gov.com,,,,,Realtime Register B.V.,2025-10-08,2026-10-08,autoridade-tributaria-gov,com,,,0,,,0,,
Lampion,autoridade-tributaria-pt.com,45.83.122.39,200313.0,"INTERNET-IT, VG",VG,Center of Ukrainian Internet Names (UKRNAMES),2025-05-15,2026-05-15,autoridade-tributaria-pt,com,ns1.hosting.reg.ru.;ns2.hosting.reg.ru.,reg.ru,2,mail.autoridade-tributaria-pt.com.,autoridade-tributaria-pt.com,1,ispnl@ispnl.hyperhost.ua,1.0
Lampion,autoridade-tributaria-pt.org,,,,,Center of Ukrainian Internet Names (UKRNAMES),2025-08-18,2026-08-18,autoridade-tributaria-pt,org,,,0,,,0,,
Lampion,autoridade-tributaria.com,,,,,PDR Ltd. d/b/a PublicDomainRegistry.com,2025-02-23,2026-02-23,autoridade-tributaria,com,,,0,,,0,,
Lampion,autoridade-tributaria.org,,,,,Center of Ukrainian Internet Names (UKRNAMES),2025-06-17,2026-06-17,autoridade-tributaria,org,,,0,,,0,,
Lampion,autoridadetributaria-pt.org,91.203.4.44,44820.0,"TUTHOST, UA",UA,Realtime Register B.V.,2025-09-20,2026-09-20,autoridadetributaria-pt,org,ns1.tuthost.com.;ns2.tuthost.com.;ns3.tuthost.com.;ns4.tuthost.com.,tuthost.com,4,mail.autoridadetributaria-pt.org.,autoridadetributaria-pt.org,1,hostmaster@autoridadetributaria-pt.org,1.0
Lampion,autoridadetributaria.org,45.83.122.39,200313.0,"INTERNET-IT, VG",VG,Center of Ukrainian Internet Names (UKRNAMES),2025-05-15,2026-05-15,autoridadetributaria,org,ns1.hosting.reg.ru.;ns2.hosting.reg.ru.,reg.ru,2,mail.autoridadetributaria.org.,autoridadetributaria.org,1,,1.0
Lampion,fat-doc-online.com,,,,,PDR Ltd. d/b/a PublicDomainRegistry.com,2025-01-08,2026-01-08,fat-doc-online,com,,,0,,,0,,
Lampion,indebt-faturas.com,,,,,Global Domain Group LLC,2024-09-23,2025-09-23,indebt-faturas,com,,,0,,,0,,
Lampion,portal-das-financas-pt.com,,,,,"HOSTINGER operations, UAB",2025-10-19,2026-10-19,portal-das-financas-pt,com,,,0,,,0,,
Lampion,portal-das-financas-pt.org,185.139.2.96,47583.0,"AS-HOSTINGER, CY",AE,"HOSTINGER operations, UAB",2025-10-09,2026-10-09,portal-das-financas-pt,org,ns1.dns-parking.com.;ns2.dns-parking.com.,dns-parking.com,2,,,0,dns@hostinger.com,1.0
Lampion,portaldasfinancas-at.com,"104.21.35.155,172.67.177.3",13335.0,"CLOUDFLARENET, US",US,WEBCC,2025-05-11,2026-05-11,portaldasfinancas-at,com,abby.ns.cloudflare.com.;koa.ns.cloudflare.com.,cloudflare.com,2,_dc-mx.bc632ee69da5.portaldasfinancas-at.com.,portaldasfinancas-at.com,1,dns@cloudflare.com,2.0
Lampion,portaldasfinancas-pt.org,,,,,"HOSTINGER operations, UAB",2025-01-22,2026-01-22,portaldasfinancas-pt,org,,,0,,,0,,
Lampion,portaldasfinancas.org,45.83.122.39,200313.0,"INTERNET-IT, VG",VG,Center of Ukrainian Internet Names (UKRNAMES),2025-05-17,2026-05-17,portaldasfinancas,org,ns1.hosting.reg.ru.;ns2.hosting.reg.ru.,reg.ru,2,,,0,ispnl@ispnl.hyperhost.ua,1.0
Kinsing,gloryweb.vip,"104.21.49.181,172.67.165.134",13335.0,"CLOUDFLARENET, US",US,"NICENIC INTERNATIONAL GROUP CO., LIMITED",2024-12-10,2025-12-10,gloryweb,vip,garrett.ns.cloudflare.com.;meiling.ns.cloudflare.com.,cloudflare.com,2,,,0,dns@cloudflare.com,2.0
UNC6384,cseconline.org,127.0.0.1,,,,"NameCheap, Inc.",2025-09-28,2026-09-28,cseconline,org,dns1.registrar-servers.com.;dns2.registrar-servers.com.,registrar-servers.com,2,eforward1.registrar-servers.com.;eforward2.registrar-servers.com.;eforward3.registrar-servers.com.;eforward4.registrar-servers.com.;eforward5.registrar-servers.com.,registrar-servers.com,5,hostmaster@registrar-servers.com,1.0
UNC6384,dorareco.net,127.0.0.1,,,,NAMECHEAP INC,2025-09-28,2026-09-28,dorareco,net,dns1.registrar-servers.com.;dns2.registrar-servers.com.,registrar-servers.com,2,eforward1.registrar-servers.com.;eforward2.registrar-servers.com.;eforward3.registrar-servers.com.;eforward4.registrar-servers.com.;eforward5.registrar-servers.com.,registrar-servers.com,5,hostmaster@registrar-servers.com,1.0
UNC6384,mediareleaseupdates.com,,,,,,,,mediareleaseupdates,com,,,0,,,0,,
UNC6384,naturadeco.net,127.0.0.1,,,,NAMECHEAP INC,2025-09-28,2026-09-28,naturadeco,net,dns1.registrar-servers.com.;dns2.registrar-servers.com.,registrar-servers.com,2,eforward1.registrar-servers.com.;eforward2.registrar-servers.com.;eforward3.registrar-servers.com.;eforward4.registrar-servers.com.;eforward5.registrar-servers.com.,registrar-servers.com,5,hostmaster@registrar-servers.com,1.0
UNC6384,paquimetro.net,127.0.0.1,,,,NAMECHEAP INC,2025-06-27,2026-06-27,paquimetro,net,dns1.registrar-servers.com.;dns2.registrar-servers.com.,registrar-servers.com,2,eforward1.registrar-servers.com.;eforward2.registrar-servers.com.;eforward3.registrar-servers.com.;eforward4.registrar-servers.com.;eforward5.registrar-servers.com.,registrar-servers.com,5,hostmaster@registrar-servers.com,1.0
UNC6384,racineupci.org,127.0.0.1,,,,"NameCheap, Inc.",2025-09-26,2026-09-26,racineupci,org,dns1.registrar-servers.com.;dns2.registrar-servers.com.,registrar-servers.com,2,eforward1.registrar-servers.com.;eforward2.registrar-servers.com.;eforward3.registrar-servers.com.;eforward4.registrar-servers.com.;eforward5.registrar-servers.com.,registrar-servers.com,5,hostmaster@registrar-servers.com,1.0
GroozaV2,acountinteruption.diprimiocostruzioni.it,94.198.52.224,56694.0,"SMARTAPE, RU",RU,Register S.p.a.,2014-02-03,2026-02-03,diprimiocostruzioni,it,,,0,,,0,,1.0
GroozaV2,aefpceup.pt,130.185.84.129,24768.0,"ALMOUROLTEC, PT",PT,,2012-10-15,2026-10-14,aefpceup,pt,ns5.mydnspt.net.;ns6.mydnspt.net.,mydnspt.net,2,aefpceup.pt.,aefpceup.pt,1,reports@ptisp.pt,1.0
GroozaV2,af-itsolutions.pt,194.65.141.202,3243.0,"MEO-RESIDENCIAL, PT",PT,,2019-11-25,2026-11-25,af-itsolutions,pt,ns1.ptempresas.pt.;ns10.ptempresas.pt.;ns2.ptempresas.pt.,ptempresas.pt,3,,,0,admin@af-itsolutions.pt,1.0
GroozaV2,afpsat.pt,94.46.180.170,24768.0,"ALMOUROLTEC, PT",PT,,2022-03-24,2026-03-24,afpsat,pt,nsp1.mydnspt.net.;nsp2.mydnspt.net.;nsp3.mydnspt.net.;nsp4.mydnspt.net.,mydnspt.net,4,afpsat.pt.,afpsat.pt,1,reports@ptisp.systems,1.0
GroozaV2,airprint.gr,185.25.23.240,209150.0,"POINTER, GR",GR,,,,airprint,gr,ns115.name-servers.gr.;ns116.name-servers.gr.,name-servers.gr,2,mail.airprint.gr.;mail2.airprint.gr.,airprint.gr,2,noreply@name-servers.gr,1.0
GroozaV2,alexismaidana.com.ar,67.227.214.110,32244.0,"LIQUIDWEB, US",US,nicar,2014-01-14,2026-06-23,com,ar,emi.ns.duplika.com.;mar.ns.duplika.com.;nic.ns.duplika.com.;rei.ns.duplika.com.,duplika.com,4,,,0,servers@duplika.com,1.0
GroozaV2,alkodi.gr,95.217.199.113,24940.0,"HETZNER-AS, DE",DE,,,,alkodi,gr,ns6.intechs.gr.;ns7.intechs.gr.;ns8.intechs.gr.,intechs.gr,3,alkodi.gr.,alkodi.gr,1,serverlogs@intechs.gr,1.0
GroozaV2,alkodieshop.gr,95.217.199.113,24940.0,"HETZNER-AS, DE",DE,,,,alkodieshop,gr,ns6.intechs.gr.;ns7.intechs.gr.;ns8.intechs.gr.,intechs.gr,3,alkodieshop.gr.,alkodieshop.gr,1,alkodigroup@gmail.com,1.0
GroozaV2,alojagora.com,,,,,,,,alojagora,com,,,0,,,0,,
GroozaV2,alpyateknoloji.com,89.252.138.163,42846.0,"GUZELHOSTING GNET INTERNET TELEKOMUNIKASYON A.S., TR",TR,PDR Ltd. d/b/a PublicDomainRegistry.com,2020-03-02,2027-03-02,alpyateknoloji,com,ns1.guzelhosting.com.;ns11.guzelhosting.com.;ns12.guzelhosting.com.;ns2.guzelhosting.com.,guzelhosting.com,4,alpyateknoloji.com.,alpyateknoloji.com,1,monitor@guzel.net.tr,1.0
GroozaV2,aojdy5ex.dreamwp.com,43.250.251.20,38719.0,"DREAMSCAPE-AS-AP Dreamscape Networks Limited, AU",AU,Dreamscape Networks International Pte Ltd,2016-06-23,2027-06-23,dreamwp,com,,,0,,,0,,1.0
GroozaV2,api.solarflevoland.nl,213.249.67.25,42585.0,"METAREGISTRAR, NL",NL,Metaregistrar B.V.,2017-06-27,,solarflevoland,nl,,,0,,,0,,1.0
GroozaV2,assurancemaladie-renouvellement.info,,,,,,,,assurancemaladie-renouvellement,info,,,0,,,0,,
GroozaV2,ateci.pt,94.46.22.196,24768.0,"ALMOUROLTEC, PT",PT,,2017-05-04,2026-05-03,ateci,pt,ns1.mydnspt.net.;ns2.mydnspt.net.;ns7.mydnspt.net.;ns8.mydnspt.net.,mydnspt.net,4,mx1.cleanmx.pt.;mx2.cleanmx.pt.,cleanmx.pt,2,reports@webserver.pt,1.0
GroozaV2,auth-billing-smp.grupositel.com,27.102.130.242,45996.0,"DAOU-AS-KR DAOU TECHNOLOGY, KR",KR,IONOS SE,2016-04-20,2026-04-20,grupositel,com,,,0,,,0,,1.0
GroozaV2,auth-simply.grupositel.com,27.102.130.242,45996.0,"DAOU-AS-KR DAOU TECHNOLOGY, KR",KR,IONOS SE,2016-04-20,2026-04-20,grupositel,com,,,0,,,0,,1.0
GroozaV2,avrasyaproje.com.tr,89.252.159.35,42846.0,"GUZELHOSTING GNET INTERNET TELEKOMUNIKASYON A.S., TR",TR,,,,com,tr,ns1.guzelhosting.com.;ns11.guzelhosting.com.;ns12.guzelhosting.com.;ns2.guzelhosting.com.,guzelhosting.com,4,avrasyaproje.com.tr.,com.tr,1,monitor@guzel.net.tr,1.0
GroozaV2,awladlktoccyat.ortomanalessia.com,,,,,"TUCOWS DOMAINS, INC.",2021-10-22,2026-10-22,ortomanalessia,com,,,0,,,0,,
GroozaV2,blackcargo.pt,94.46.183.134,24768.0,"ALMOUROLTEC, PT",PT,,2024-08-02,2026-08-02,blackcargo,pt,nsp1.mydnspt.net.;nsp2.mydnspt.net.;nsp3.mydnspt.net.;nsp4.mydnspt.net.,mydnspt.net,4,mx1.cleanmx.pt.;mx2.cleanmx.pt.,cleanmx.pt,2,reports@ptisp.systems,1.0
GroozaV2,bluesign.pt,94.46.15.1,24768.0,"ALMOUROLTEC, PT",PT,,2016-08-05,2027-08-04,bluesign,pt,ns1.mydnspt.net.;ns2.mydnspt.net.;ns7.mydnspt.net.;ns8.mydnspt.net.,mydnspt.net,4,mx1.cleanmx.pt.;mx2.cleanmx.pt.,cleanmx.pt,2,reports@ptisp.pt,1.0
GroozaV2,booking-confimraition-28732893.duckdns.org,82.147.84.79,211860.0,"VPSDEDIC-AS, RU",RU,,,,duckdns,org,,,0,booking-confimraition-28732893.duckdns.org.,duckdns.org,1,,1.0
GroozaV2,bzss.pt,94.46.183.96,24768.0,"ALMOUROLTEC, PT",PT,,2012-09-30,2028-09-29,bzss,pt,ns1.mydnspt.net.;ns2.mydnspt.net.;ns7.mydnspt.net.;ns8.mydnspt.net.,mydnspt.net,4,mail.bzss.pt.,bzss.pt,1,reports@ptisp.systems,1.0
GroozaV2,candperdizes.com,130.185.87.137,24768.0,"ALMOUROLTEC, PT",PT,"NetEarth One, Inc.",2009-12-11,2025-12-11,candperdizes,com,ns1.mydnspt.net.;ns2.mydnspt.net.;ns7.mydnspt.net.;ns8.mydnspt.net.,mydnspt.net,4,mail.candperdizes.com.,candperdizes.com,1,reports@webserver.pt,1.0
GroozaV2,canreisgroup.com.tr,104.247.167.147,42846.0,"GUZELHOSTING GNET INTERNET TELEKOMUNIKASYON A.S., TR",TR,,2016-11-07,2026-11-06,com,tr,ns1.guzelhosting.com.;ns11.guzelhosting.com.;ns12.guzelhosting.com.;ns2.guzelhosting.com.,guzelhosting.com,4,alt1.aspmx.l.google.com.;alt2.aspmx.l.google.com.;alt3.aspmx.l.google.com.;alt4.aspmx.l.google.com.;canreisgroup.com.tr.,com.tr;google.com,5,monitor@guzel.net.tr,1.0
GroozaV2,carloscunhayoga.com,,,,,PDR Ltd. d/b/a PublicDomainRegistry.com,2016-11-22,2026-11-22,carloscunhayoga,com,,,0,,,0,,
GroozaV2,ccjc.pt,94.46.183.146,24768.0,"ALMOUROLTEC, PT",PT,,2020-04-21,2026-04-21,ccjc,pt,nsp1.mydnspt.net.;nsp2.mydnspt.net.;nsp3.mydnspt.net.;nsp4.mydnspt.net.,mydnspt.net,4,mx1.cleanmx.pt.;mx2.cleanmx.pt.,cleanmx.pt,2,reports@ptisp.systems,1.0
GroozaV2,chissema.com,164.160.91.52,328037.0,"Elitehost, ZA",ZA,Hosting Concepts B.V. d/b/a Registrar.eu,2023-02-10,2026-02-10,chissema,com,ns3.za-dns.com.;ns5.za-dns.com.,za-dns.com,2,chissema.com.,chissema.com,1,servers@za-dns.com,1.0
GroozaV2,coureladozambujeiro.com,94.46.183.183,24768.0,"ALMOUROLTEC, PT",PT,"Network Solutions, LLC",2009-10-20,2026-10-20,coureladozambujeiro,com,nsp1.mydnspt.net.;nsp2.mydnspt.net.;nsp3.mydnspt.net.;nsp4.mydnspt.net.,mydnspt.net,4,mx1.cleanmx.pt.;mx2.cleanmx.pt.,cleanmx.pt,2,reports@ptisp.systems,1.0
GroozaV2,crazybubble.pt,94.46.180.217,24768.0,"ALMOUROLTEC, PT",PT,,2021-03-17,2026-03-17,crazybubble,pt,nsp1.mydnspt.net.;nsp2.mydnspt.net.;nsp3.mydnspt.net.;nsp4.mydnspt.net.,mydnspt.net,4,crazybubble-pt.mail.protection.outlook.com.,outlook.com,1,reports@ptisp.pt,1.0
GroozaV2,creativetrendwatcher.be,,,,,,,,creativetrendwatcher,be,,,0,,,0,,
GroozaV2,crediadvisor.pt,94.46.183.194,24768.0,"ALMOUROLTEC, PT",PT,,2019-05-17,2026-05-16,crediadvisor,pt,nsp1.mydnspt.net.;nsp2.mydnspt.net.;nsp3.mydnspt.net.;nsp4.mydnspt.net.,mydnspt.net,4,mx1.cleanmx.pt.;mx2.cleanmx.pt.,cleanmx.pt,2,reports@ptisp.systems,1.0
GroozaV2,criamoda.com,94.46.183.37,24768.0,"ALMOUROLTEC, PT",PT,NetEarth One Inc. d/b/a NetEarth,2005-12-12,2025-12-12,criamoda,com,,,0,criamoda.com.,criamoda.com,1,reports@ptisp.systems,1.0
GroozaV2,csam.e-box.help,185.219.81.173,211381.0,"PODAON, LV",NL,"NameSilo, LLC",2025-05-18,2026-05-18,e-box,help,,,0,,,0,,1.0
GroozaV2,csam.ebox-login.xyz,,,,,"NameSilo, LLC",2025-07-13,2026-07-13,ebox-login,xyz,,,0,,,0,,
GroozaV2,devwrapi.washrocks.com,147.135.254.139,16276.0,"OVH, FR",FR,"OVH, SAS",2014-05-08,2028-05-08,washrocks,com,,,0,,,0,,1.0
GroozaV2,dewa-ae.mandegroupeinternational.org,,,,,Gandi SAS,2022-04-05,2026-04-05,mandegroupeinternational,org,,,0,,,0,,
GroozaV2,disney.plus-billing.sbs,,,,,"NameSilo, LLC",2025-06-27,2026-06-27,plus-billing,sbs,,,0,,,0,,
GroozaV2,disney.plus-billings.sbs,,,,,,,,plus-billings,sbs,,,0,,,0,,
GroozaV2,dpd-de.eyo-copter.com,,,,,IONOS SE,2015-07-31,2026-07-31,eyo-copter,com,,,0,,,0,,
GroozaV2,dynpyads.com,,,,,"GMO Internet, Inc.",2024-10-11,2025-10-11,dynpyads,com,,,0,,,0,,
